 # t  V  n  m  h  a  b  J
    459.11000000    -62.45049823      0.49551508      0.02014764      0.65684886      0.61028499      0.10313797     15.00000000
    459.12000000    -62.41888820      0.49460678      0.02022817      0.65843267      0.60988894      0.10339044     15.00000000
    459.13000000    -62.38732279      0.49370273      0.02030891      0.66000330      0.60949813      0.10364041     15.00000000
    459.14000000    -62.35580334      0.49280292      0.02038986      0.66156085      0.60911251      0.10388788     15.00000000
    459.15000000    -62.32433114      0.49190734      0.02047100      0.66310543      0.60873204      0.10413288     15.00000000
    459.16000000    -62.29290746      0.49101597      0.02055233      0.66463715      0.60835666      0.10437541     15.00000000
    459.17000000    -62.26153356      0.49012879      0.02063386      0.66615611      0.60798633      0.10461548     15.00000000
    459.18000000    -62.23021067      0.48924580      0.02071558      0.66766241      0.60762101      0.10485311     15.00000000
    459.19000000    -62.19894001      0.48836699      0.02079748      0.66915616      0.60726064      0.10508830     15.00000000
    459.20000000    -62.16772275      0.48749232      0.02087957      0.67063747      0.60690519      0.10532108     15.00000000
    459.21000000    -62.13656008      0.48662180      0.02096183      0.67210642      0.60655460      0.10555145     15.00000000
    459.22000000    -62.10545313      0.48575540      0.02104426      0.67356313      0.60620883      0.10577942     15.00000000
    459.23000000    -62.07440303      0.48489312      0.02112687      0.67500768      0.60586784      0.10600500     15.00000000
    459.24000000    -62.04341088      0.48403494      0.02120964      0.67644019      0.60553158      0.10622822     15.00000000
    459.25000000    -62.01247778      0.48318084      0.02129257      0.67786075      0.60520001      0.10644907     15.00000000
    459.26000000    -61.98160478      0.48233082      0.02137567      0.67926945      0.60487308      0.10666757     15.00000000
    459.27000000    -61.95079293      0.48148485      0.02145892      0.68066640      0.60455075      0.10688374     15.00000000
    459.28000000    -61.92004326      0.48064292      0.02154232      0.68205168      0.60423297      0.10709758     15.00000000
    459.29000000    -61.88935677      0.47980502      0.02162587      0.68342540      0.60391971      0.10730911     15.00000000
    459.30000000    -61.85873444      0.47897114      0.02170957      0.68478764      0.60361092      0.10751834     15.00000000
    459.31000000    -61.82817725      0.47814126      0.02179341      0.68613850      0.60330656      0.10772528     15.00000000
    459.32000000    -61.79768615      0.47731536      0.02187738      0.68747808      0.60300658      0.10792994     15.00000000
    459.33000000    -61.76726205      0.47649344      0.02196150      0.68880645      0.60271095      0.10813234     15.00000000
    459.34000000    -61.73690588      0.47567547      0.02204574      0.69012372      0.60241962      0.10833249     15.00000000
    459.35000000    -61.70661852      0.47486145      0.02213011      0.69142998      0.60213255      0.10853039     15.00000000
    459.36000000    -61.67640085      0.47405136      0.02221460      0.69272530      0.60184971      0.10872607     15.00000000
    459.37000000    -61.64625373      0.47324518      0.02229922      0.69400979      0.60157104      0.10891953     15.00000000
    459.38000000    -61.61617799      0.47244291      0.02238395      0.69528353      0.60129651      0.10911079     15.00000000
    459.39000000    -61.58617445      0.47164452      0.02246880      0.69654660      0.60102608      0.10929986     15.00000000
    459.40000000    -61.55624393      0.47085001      0.02255376      0.69779909      0.60075971      0.10948675     15.00000000
    459.41000000    -61.52638719      0.47005935      0.02263882      0.69904109      0.60049736      0.10967146     15.00000000
    459.42000000    -61.49660501      0.46927255      0.02272399      0.70027269      0.60023899      0.10985403     15.00000000
    459.43000000    -61.46689815      0.46848957      0.02280925      0.70149395      0.59998456      0.11003445     15.00000000
    459.44000000    -61.43726733      0.46771041      0.02289461      0.70270498      0.59973404      0.11021274     15.00000000
    459.45000000    -61.40771327      0.46693505      0.02298007      0.70390585      0.59948738      0.11038891     15.00000000
    459.46000000    -61.37823667      0.46616349      0.02306562      0.70509664      0.59924455      0.11056297     15.00000000
    459.47000000    -61.34883822      0.46539570      0.02315125      0.70627743      0.59900551      0.11073494     15.00000000
    459.48000000    -61.31951858      0.46463167      0.02323696      0.70744830      0.59877022      0.11090483     15.00000000
    459.49000000    -61.29027840      0.46387138      0.02332275      0.70860934      0.59853864      0.11107264     15.00000000
    459.50000000    -61.26111832      0.46311483      0.02340862      0.70976063      0.59831074      0.11123840     15.00000000
    459.51000000    -61.23203895      0.46236200      0.02349457      0.71090223      0.59808648      0.11140211     15.00000000
    459.52000000    -61.20304089      0.46161288      0.02358058      0.71203423      0.59786583      0.11156379     15.00000000
    459.53000000    -61.17412474      0.46086744      0.02366665      0.71315671      0.59764874      0.11172345     15.00000000
    459.54000000    -61.14529106      0.46012568      0.02375279      0.71426973      0.59743519      0.11188109     15.00000000
    459.55000000    -61.11654041      0.45938759      0.02383899      0.71537339      0.59722513      0.11203674     15.00000000
    459.56000000    -61.08787332      0.45865315      0.02392525      0.71646774      0.59701853      0.11219040     15.00000000
    459.57000000    -61.05929032      0.45792234      0.02401156      0.71755288      0.59681536      0.11234209     15.00000000
    459.58000000    -61.03079192      0.45719515      0.02409791      0.71862886      0.59661558      0.11249182     15.00000000
    459.59000000    -61.00237861      0.45647157      0.02418432      0.71969576      0.59641916      0.11263959     15.00000000
    459.60000000    -60.97405087      0.45575158      0.02427076      0.72075366      0.59622606      0.11278543     15.00000000
    459.61000000    -60.94580917      0.45503518      0.02435725      0.72180263      0.59603625      0.11292935     15.00000000
    459.62000000    -60.91765394      0.45432234      0.02444377      0.72284273      0.59584970      0.11307134     15.00000000
    459.63000000    -60.88958564      0.45361305      0.02453033      0.72387404      0.59566636      0.11321144     15.00000000
    459.64000000    -60.86160466      0.45290730      0.02461692      0.72489663      0.59548621      0.11334965     15.00000000
    459.65000000    -60.83371143      0.45220508      0.02470353      0.72591057      0.59530922      0.11348598     15.00000000
    459.66000000    -60.80590633      0.45150637      0.02479017      0.72691592      0.59513535      0.11362044     15.00000000
    459.67000000    -60.77818974      0.45081115      0.02487683      0.72791276      0.59496457      0.11375305     15.00000000
    459.68000000    -60.75056201      0.45011942      0.02496351      0.72890115      0.59479685      0.11388381     15.00000000
    459.69000000    -60.72302351      0.44943115      0.02505020      0.72988116      0.59463215      0.11401275     15.00000000
    459.70000000    -60.69557456      0.44874635      0.02513691      0.73085286      0.59447045      0.11413986     15.00000000
    459.71000000    -60.66821548      0.44806498      0.02522362      0.73181630      0.59431171      0.11426517     15.00000000
    459.72000000    -60.64094658      0.44738705      0.02531034      0.73277156      0.59415590      0.11438868     15.00000000
    459.73000000    -60.61376817      0.44671252      0.02539706      0.73371870      0.59400299      0.11451041     15.00000000
    459.74000000    -60.58668050      0.44604141      0.02548378      0.73465779      0.59385295      0.11463036     15.00000000
    459.75000000    -60.55968386      0.44537367      0.02557050      0.73558889      0.59370574      0.11474856     15.00000000
    459.76000000    -60.53277850      0.44470932      0.02565722      0.73651206      0.59356135      0.11486500     15.00000000
    459.77000000    -60.50596466      0.44404832      0.02574392      0.73742736      0.59341973      0.11497971     15.00000000
    459.78000000    -60.47924257      0.44339067      0.02583062      0.73833486      0.59328087      0.11509269     15.00000000
    459.79000000    -60.45261244      0.44273635      0.02591730      0.73923461      0.59314472      0.11520396     15.00000000
    459.80000000    -60.42607448      0.44208536      0.02600396      0.74012669      0.59301126      0.11531352     15.00000000
    459.81000000    -60.39962888      0.44143767      0.02609061      0.74101114      0.59288046      0.11542140     15.00000000
    459.82000000    -60.37327581      0.44079327      0.02617723      0.74188804      0.59275230      0.11552759     15.00000000
    459.83000000    -60.34701545      0.44015215      0.02626382      0.74275743      0.59262673      0.11563211     15.00000000
