 # V  ninf  minf  hinf  ainf  binf  taun  taum  tauh  taua  taub
    -87.00000000      0.03523303      0.00077397      0.99795793      0.44947226      0.68696381      2.74688891      0.01091137      0.53377270      1.31722425      3.67591746
    -86.90000000      0.03553990      0.00078475      0.99792715      0.44991758      0.68526674      2.74944986      0.01097209      0.53643170      1.31638772      3.67453990
    -86.80000000      0.03584919      0.00079568      0.99789591      0.45036326      0.68356324      2.75200599      0.01103314      0.53910370      1.31554849      3.67315529
    -86.70000000      0.03616093      0.00080676      0.99786420      0.45080930      0.68185332      2.75455723      0.01109454      0.54178875      1.31470657      3.67176360
    -86.60000000      0.03647513      0.00081799      0.99783202      0.45125569      0.68013700      2.75710351      0.01115627      0.54448692      1.31386195      3.67036481
    -86.50000000      0.03679180      0.00082938      0.99779935      0.45170245      0.67841428      2.75964476      0.01121834      0.54719825      1.31301464      3.66895889
    -86.40000000      0.03711097      0.00084092      0.99776619      0.45214955      0.67668517      2.76218091      0.01128076      0.54992282      1.31216462      3.66754580
    -86.30000000      0.03743264      0.00085262      0.99773253      0.45259702      0.67494969      2.76471188      0.01134352      0.55266067      1.31131190      3.66612553
    -86.20000000      0.03775683      0.00086448      0.99769836      0.45304484      0.67320785      2.76723761      0.01140663      0.55541188      1.31045647      3.66469804
    -86.10000000      0.03808357      0.00087651      0.99766369      0.45349302      0.67145966      2.76975801      0.01147009      0.55817649      1.30959834      3.66326332
    -86.00000000      0.03841286      0.00088869      0.99762849      0.45394156      0.66970512      2.77227302      0.01153390      0.56095457      1.30873749      3.66182133
    -85.90000000      0.03874472      0.00090105      0.99759276      0.45439046      0.66794426      2.77478257      0.01159807      0.56374618      1.30787393      3.66037204
    -85.80000000      0.03907917      0.00091357      0.99755650      0.45483971      0.66617709      2.77728658      0.01166259      0.56655137      1.30700766      3.65891543
    -85.70000000      0.03941622      0.00092627      0.99751969      0.45528931      0.66440361      2.77978498      0.01172746      0.56937021      1.30613867      3.65745147
    -85.60000000      0.03975590      0.00093913      0.99748232      0.45573928      0.66262386      2.78227768      0.01179270      0.57220276      1.30526696      3.65598013
    -85.50000000      0.04009821      0.00095218      0.99744440      0.45618960      0.66083783      2.78476463      0.01185829      0.57504907      1.30439253      3.65450139
    -85.40000000      0.04044317      0.00096540      0.99740591      0.45664027      0.65904555      2.78724573      0.01192425      0.57790921      1.30351538      3.65301522
    -85.30000000      0.04079081      0.00097880      0.99736684      0.45709131      0.65724703      2.78972092      0.01199057      0.58078325      1.30263550      3.65152160
    -85.20000000      0.04114113      0.00099239      0.99732718      0.45754269      0.65544229      2.79219011      0.01205726      0.58367123      1.30175290      3.65002049
    -85.10000000      0.04149416      0.00100616      0.99728693      0.45799444      0.65363134      2.79465324      0.01212432      0.58657321      1.30086756      3.64851187
    -85.00000000      0.04184990      0.00102012      0.99724607      0.45844654      0.65181421      2.79711022      0.01219175      0.58948927      1.29997950      3.64699571
    -84.90000000      0.04220839      0.00103427      0.99720460      0.45889900      0.64999090      2.79956097      0.01225955      0.59241946      1.29908871      3.64547199
    -84.80000000      0.04256962      0.00104862      0.99716251      0.45935181      0.64816145      2.80200543      0.01232772      0.59536385      1.29819518      3.64394067
    -84.70000000      0.04293363      0.00106315      0.99711979      0.45980498      0.64632586      2.80444350      0.01239628      0.59832249      1.29729892      3.64240174
    -84.60000000      0.04330042      0.00107789      0.99707643      0.46025850      0.64448417      2.80687511      0.01246521      0.60129544      1.29639992      3.64085516
    -84.50000000      0.04367001      0.00109283      0.99703241      0.46071238      0.64263638      2.80930018      0.01253452      0.60428277      1.29549819      3.63930091
    -84.40000000      0.04404243      0.00110797      0.99698773      0.46116661      0.64078252      2.81171863      0.01260421      0.60728454      1.29459372      3.63773896
    -84.30000000      0.04441768      0.00112332      0.99694239      0.46162120      0.63892261      2.81413037      0.01267429      0.61030080      1.29368650      3.63616928
    -84.20000000      0.04479579      0.00113888      0.99689636      0.46207614      0.63705668      2.81653534      0.01274476      0.61333163      1.29277655      3.63459185
    -84.10000000      0.04517677      0.00115465      0.99684965      0.46253144      0.63518474      2.81893344      0.01281562      0.61637708      1.29186385      3.63300664
    -84.00000000      0.04556064      0.00117063      0.99680223      0.46298710      0.63330681      2.82132460      0.01288686      0.61943722      1.29094841      3.63141363
    -83.90000000      0.04594741      0.00118683      0.99675411      0.46344310      0.63142293      2.82370873      0.01295850      0.62251211      1.29003022      3.62981279
    -83.80000000      0.04633710      0.00120325      0.99670526      0.46389947      0.62953312      2.82608575      0.01303054      0.62560180      1.28910929      3.62820409
    -83.70000000      0.04672974      0.00121990      0.99665568      0.46435618      0.62763740      2.82845558      0.01310297      0.62870637      1.28818562      3.62658750
    -83.60000000      0.04712533      0.00123677      0.99660535      0.46481325      0.62573580      2.83081813      0.01317581      0.63182587      1.28725919      3.62496300
    -83.50000000      0.04752390      0.00125387      0.99655427      0.46527068      0.62382833      2.83317332      0.01324904      0.63496036      1.28633002      3.62333056
    -83.40000000      0.04792545      0.00127120      0.99650243      0.46572846      0.62191504      2.83552106      0.01332268      0.63810992      1.28539810      3.62169016
    -83.30000000      0.04833002      0.00128877      0.99644981      0.46618659      0.61999595      2.83786127      0.01339672      0.64127459      1.28446343      3.62004177
    -83.20000000      0.04873761      0.00130658      0.99639640      0.46664508      0.61807108      2.84019387      0.01347118      0.64445445      1.28352601      3.61838536
    -83.10000000      0.04914824      0.00132462      0.99634219      0.46710392      0.61614046      2.84251877      0.01354604      0.64764955      1.28258583      3.61672091
    -83.00000000      0.04956193      0.00134292      0.99628717      0.46756311      0.61420412      2.84483588      0.01362132      0.65085997      1.28164291      3.61504839
    -82.90000000      0.04997870      0.00136146      0.99623133      0.46802266      0.61226210      2.84714512      0.01369701      0.65408575      1.28069724      3.61336778
    -82.80000000      0.05039857      0.00138025      0.99617465      0.46848256      0.61031441      2.84944640      0.01377312      0.65732697      1.27974881      3.61167904
    -82.70000000      0.05082155      0.00139930      0.99611712      0.46894281      0.60836110      2.85173962      0.01384964      0.66058368      1.27879764      3.60998216
    -82.60000000      0.05124765      0.00141861      0.99605873      0.46940342      0.60640220      2.85402472      0.01392659      0.66385596      1.27784371      3.60827711
    -82.50000000      0.05167691      0.00143817      0.99599947      0.46986438      0.60443773      2.85630159      0.01400397      0.66714385      1.27688702      3.60656385
    -82.40000000      0.05210932      0.00145801      0.99593932      0.47032569      0.60246772      2.85857015      0.01408177      0.67044743      1.27592759      3.60484238
    -82.30000000      0.05254492      0.00147811      0.99587827      0.47078735      0.60049223      2.86083030      0.01415999      0.67376676      1.27496540      3.60311265
    -82.20000000      0.05298372      0.00149848      0.99581630      0.47124937      0.59851126      2.86308197      0.01423865      0.67710190      1.27400046      3.60137465
    -82.10000000      0.05342574      0.00151913      0.99575341      0.47171173      0.59652487      2.86532506      0.01431774      0.68045291      1.27303277      3.59962835
    -82.00000000      0.05387099      0.00154006      0.99568958      0.47217445      0.59453308      2.86755947      0.01439727      0.68381985      1.27206233      3.59787372
    -81.90000000      0.05431949      0.00156127      0.99562479      0.47263752      0.59253594      2.86978513      0.01447723      0.68720280      1.27108914      3.59611075
    -81.80000000      0.05477126      0.00158277      0.99555904      0.47310095      0.59053347      2.87200193      0.01455764      0.69060180      1.27011319      3.59433939
    -81.70000000      0.05522632      0.00160455      0.99549230      0.47356472      0.58852572      2.87420980      0.01463848      0.69401693      1.26913449      3.59255964
    -81.60000000      0.05568468      0.00162664      0.99542457      0.47402885      0.58651272      2.87640862      0.01471978      0.69744825      1.26815305      3.59077146
    -81.50000000      0.05614637      0.00164902      0.99535582      0.47449332      0.58449451      2.87859832      0.01480151      0.70089581      1.26716885      3.58897483
    -81.40000000      0.05661139      0.00167170      0.99528604      0.47495815      0.58247113      2.88077880      0.01488370      0.70435969      1.26618190      3.58716972
    -81.30000000      0.05707977      0.00169469      0.99521523      0.47542333      0.58044263      2.88294997      0.01496634      0.70783994      1.26519221      3.58535611
    -81.20000000      0.05755152      0.00171799      0.99514335      0.47588885      0.57840903      2.88511174      0.01504943      0.71133662      1.26419977      3.58353397
    -81.10000000      0.05802667      0.00174160      0.99507040      0.47635473      0.57637038      2.88726400      0.01513298      0.71484981      1.26320458      3.58170329
    -81.00000000      0.05850522      0.00176553      0.99499637      0.47682096      0.57432673      2.88940668      0.01521699      0.71837955      1.26220664      3.57986403
    -80.90000000      0.05898720      0.00178979      0.99492122      0.47728754      0.57227811      2.89153966      0.01530146      0.72192592      1.26120596      3.57801617
    -80.80000000      0.05947263      0.00181437      0.99484496      0.47775447      0.57022457      2.89366287      0.01538640      0.72548897      1.26020254      3.57615969
    -80.70000000      0.05996152      0.00183928      0.99476755      0.47822174      0.56816615      2.89577620      0.01547180      0.72906877      1.25919637      3.57429456
    -80.60000000      0.06045388      0.00186453      0.99468900      0.47868937      0.56610289      2.89787956      0.01555767      0.73266538      1.25818746      3.57242076
    -80.50000000      0.06094975      0.00189012      0.99460927      0.47915735      0.56403485      2.89997285      0.01564401      0.73627886      1.25717581      3.57053827
    -80.40000000      0.06144912      0.00191605      0.99452835      0.47962567      0.56196206      2.90205597      0.01573082      0.73990927      1.25616142      3.56864706
    -80.30000000      0.06195203      0.00194233      0.99444622      0.48009435      0.55988457      2.90412884      0.01581811      0.74355668      1.25514430      3.56674710
    -80.20000000      0.06245849      0.00196897      0.99436287      0.48056337      0.55780243      2.90619136      0.01590588      0.74722113      1.25412444      3.56483838
    -80.10000000      0.06296851      0.00199596      0.99427828      0.48103274      0.55571568      2.90824341      0.01599413      0.75090271      1.25310184      3.56292087
    -80.00000000      0.06348212      0.00202331      0.99419242      0.48150246      0.55362438      2.91028492      0.01608287      0.75460146      1.25207652      3.56099455
    -79.90000000      0.06399933      0.00205103      0.99410529      0.48197252      0.55152858      2.91231579      0.01617209      0.75831745      1.25104846      3.55905939
    -79.80000000      0.06452016      0.00207913      0.99401686      0.48244294      0.54942831      2.91433590      0.01626180      0.76205074      1.25001767      3.55711537
