 # t  V  n  m  h  a  b  J
      1.79000000    -67.97495623      0.15584047      0.01007412      0.96566220      0.54043197      0.28851237      0.00000000
      1.80000000    -67.97496061      0.15584063      0.01007411      0.96566396      0.54043203      0.28851243      0.00000000
      1.81000000    -67.97496497      0.15584079      0.01007411      0.96566570      0.54043209      0.28851250      0.00000000
      1.82000000    -67.97496931      0.15584095      0.01007410      0.96566744      0.54043215      0.28851257      0.00000000
      1.83000000    -67.97497364      0.15584111      0.01007409      0.96566916      0.54043222      0.28851263      0.00000000
      1.84000000    -67.97497795      0.15584127      0.01007409      0.96567087      0.54043228      0.28851270      0.00000000
      1.85000000    -67.97498224      0.15584143      0.01007408      0.96567256      0.54043234      0.28851277      0.00000000
      1.86000000    -67.97498651      0.15584158      0.01007408      0.96567425      0.54043240      0.28851283      0.00000000
      1.87000000    -67.97499076      0.15584174      0.01007407      0.96567592      0.54043245      0.28851290      0.00000000
      1.88000000    -67.97499500      0.15584189      0.01007407      0.96567758      0.54043251      0.28851297      0.00000000
      1.89000000    -67.97499921      0.15584205      0.01007406      0.96567922      0.54043257      0.28851303      0.00000000
      1.90000000    -67.97500341      0.15584220      0.01007405      0.96568086      0.54043263      0.28851310      0.00000000
      1.91000000    -67.97500758      0.15584236      0.01007405      0.96568248      0.54043268      0.28851317      0.00000000
      1.92000000    -67.97501174      0.15584251      0.01007404      0.96568409      0.54043274      0.28851324      0.00000000
      1.93000000    -67.97501588      0.15584266      0.01007404      0.96568569      0.54043279      0.28851330      0.00000000
      1.94000000    -67.97502000      0.15584281      0.01007403      0.96568728      0.54043284      0.28851337      0.00000000
      1.95000000    -67.97502409      0.15584296      0.01007403      0.96568885      0.54043290      0.28851344      0.00000000
      1.96000000    -67.97502817      0.15584311      0.01007402      0.96569042      0.54043295      0.28851350      0.00000000
      1.97000000    -67.97503223      0.15584326      0.01007402      0.96569197      0.54043300      0.28851357      0.00000000
      1.98000000    -67.97503627      0.15584341      0.01007401      0.96569351      0.54043305      0.28851364      0.00000000
      1.99000000    -67.97504029      0.15584356      0.01007400      0.96569504      0.54043310      0.28851370      0.00000000
      2.00000000    -67.97504429      0.15584371      0.01007400      0.96569656      0.54043315      0.28851377      0.00000000
      2.01000000    -67.97504827      0.15584385      0.01007399      0.96569806      0.54043320      0.28851384      0.00000000
      2.02000000    -67.97505223      0.15584400      0.01007399      0.96569956      0.54043325      0.28851391      0.00000000
      2.03000000    -67.97505617      0.15584415      0.01007398      0.96570104      0.54043330      0.28851397      0.00000000
      2.04000000    -67.97506009      0.15584429      0.01007398      0.96570252      0.54043335      0.28851404      0.00000000
      2.05000000    -67.97506398      0.15584444      0.01007397      0.96570398      0.54043339      0.28851411      0.00000000
      2.06000000    -67.97506786      0.15584458      0.01007397      0.96570543      0.54043344      0.28851417      0.00000000
      2.07000000    -67.97507172      0.15584472      0.01007396      0.96570688      0.54043348      0.28851424      0.00000000
      2.08000000    -67.97507556      0.15584487      0.01007396      0.96570831      0.54043353      0.28851431      0.00000000
      2.09000000    -67.97507938      0.15584501      0.01007395      0.96570973      0.54043357      0.28851437      0.00000000
      2.10000000    -67.97508318      0.15584515      0.01007395      0.96571114      0.54043362      0.28851444      0.00000000
      2.11000000    -67.97508696      0.15584529      0.01007394      0.96571254      0.54043366      0.28851451      0.00000000
      2.12000000    -67.97509072      0.15584543      0.01007394      0.96571393      0.54043370      0.28851458      0.00000000
      2.13000000    -67.97509445      0.15584557      0.01007393      0.96571531      0.54043374      0.28851464      0.00000000
      2.14000000    -67.97509817      0.15584571      0.01007393      0.96571668      0.54043379      0.28851471      0.00000000
      2.15000000    -67.97510187      0.15584585      0.01007392      0.96571804      0.54043383      0.28851478      0.00000000
      2.16000000    -67.97510555      0.15584599      0.01007392      0.96571938      0.54043387      0.28851484      0.00000000
      2.17000000    -67.97510921      0.15584613      0.01007391      0.96572072      0.54043391      0.28851491      0.00000000
      2.18000000    -67.97511285      0.15584626      0.01007391      0.96572205      0.54043395      0.28851498      0.00000000
      2.19000000    -67.97511647      0.15584640      0.01007390      0.96572337      0.54043399      0.28851505      0.00000000
      2.20000000    -67.97512007      0.15584654      0.01007390      0.96572468      0.54043402      0.28851511      0.00000000
      2.21000000    -67.97512365      0.15584667      0.01007389      0.96572598      0.54043406      0.28851518      0.00000000
      2.22000000    -67.97512721      0.15584681      0.01007389      0.96572727      0.54043410      0.28851525      0.00000000
      2.23000000    -67.97513075      0.15584694      0.01007388      0.96572856      0.54043414      0.28851532      0.00000000
      2.24000000    -67.97513427      0.15584707      0.01007388      0.96572983      0.54043417      0.28851538      0.00000000
      2.25000000    -67.97513777      0.15584721      0.01007387      0.96573109      0.54043421      0.28851545      0.00000000
      2.26000000    -67.97514125      0.15584734      0.01007387      0.96573234      0.54043424      0.28851552      0.00000000
      2.27000000    -67.97514472      0.15584747      0.01007387      0.96573359      0.54043428      0.28851558      0.00000000
      2.28000000    -67.97514816      0.15584760      0.01007386      0.96573482      0.54043431      0.28851565      0.00000000
